Date,Weekday,Course,Time,CourseGroup,Region,Code,Surface,Type
2026-06-20,Saturday,Doncaster,Evening,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-06-25,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-06-26,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-06-26,Friday,Newmarket,Evening,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-06-27,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-07-03,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-07-09,Thursday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-07-09,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-07-10,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-07-10,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-07-10,Friday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-07-11,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-07-11,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-07-11,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-07-17,Friday,Newmarket,Evening,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-07-18,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-07-18,Saturday,Doncaster,Evening,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-07-23,Thursday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-07-24,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-07-24,Friday,York,Evening,Independent,North,Flat,Turf,Racecourse/Normal
2026-07-25,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-07-25,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-07-31,Friday,Newmarket,Evening,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-01,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-08-01,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-06,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-07,Friday,Newmarket,Evening,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-08,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-08-08,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-14,Friday,Newmarket,Evening,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-15,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-08-15,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-19,Wednesday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-08-20,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-20,Thursday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-08-21,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-21,Friday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-08-22,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-08-22,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-09-04,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-09-05,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-09-06,Sunday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-09-10,Thursday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-09-11,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-09-12,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-09-13,Sunday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-09-19,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-09-24,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-09-25,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-09-26,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-02,Friday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-10-03,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,Racecourse/Normal
2026-10-03,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-09,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-09,Friday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-10-10,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-10,Saturday,York,Afternoon,Independent,North,Flat,Turf,Racecourse/Normal
2026-10-17,Saturday,Ascot,Afternoon,Independent,South,Flat,Turf,National/BHA
2026-10-21,Wednesday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-22,Thursday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-23,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-10-24,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-10-30,Friday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-10-31,Saturday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-10-31,Saturday,Newmarket,Afternoon,Jockey Club Racecourses Limited,Midlands,Flat,Turf,Racecourse/Normal
2026-11-07,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Flat,Turf,Racecourse/Normal
2026-11-20,Friday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-11-21,Saturday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-11-27,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-11-28,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-12-11,Friday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-12-12,Saturday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
2026-12-18,Friday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-12-19,Saturday,Ascot,Afternoon,Independent,South,Jump,Turf,Racecourse/Normal
2026-12-29,Tuesday,Doncaster,Afternoon,Arena Racing Corporation Limited,North,Jump,Turf,Racecourse/Normal
